Serial	ReadingDateTimeUTC	WH	VARH
METER000001	21-03-2020 22:30	27180198	6232597
METER000001	21-03-2020 23:00	27180301	6232642
METER000001	21-03-2020 23:30	27180403	6232686
METER000001	22-03-2020 00:00	27180506	6232731
METER000001	22-03-2020 00:30	27180608	6232776
METER000001	22-03-2020 01:00	27180710	6232820
METER000001	22-03-2020 01:30	27180812	6232865
METER000001	22-03-2020 02:00	27180913	6232912
METER000001	22-03-2020 02:30	27181012	6232957
METER000001	22-03-2020 03:00	27181112	6233000
METER000001	22-03-2020 03:30	27181214	6233042
METER000001	22-03-2020 04:00	27181378	6233085
METER000001	22-03-2020 04:30	27181507	6233131
METER000001	22-03-2020 05:00	27181639	6233178
METER000001	22-03-2020 05:30	27181783	6233226
METER000001	22-03-2020 06:00	27181932	6233275
METER000001	22-03-2020 06:30	27182092	6233325
METER000001	22-03-2020 07:00	27182342	6233391
METER000001	22-03-2020 07:30	27182700	6233473
METER000001	22-03-2020 08:00	27183092	6233554
METER000001	22-03-2020 08:30	27183472	6233631
METER000001	22-03-2020 09:00	27183853	6233704
METER000001	22-03-2020 09:30	27184245	6233779
METER000001	22-03-2020 10:00	27184642	6233850
METER000001	22-03-2020 10:30	27185030	6233913
METER000001	22-03-2020 11:00	27185423	6233993
METER000001	22-03-2020 11:30	27185759	6234080
METER000001	22-03-2020 12:00	27186042	6234152
METER000001	22-03-2020 12:30	27186278	6234211
METER000001	22-03-2020 13:00	27186470	6234266
METER000001	22-03-2020 13:30	27186646	6234321
METER000001	22-03-2020 14:00	27186804	6234375
METER000001	22-03-2020 14:30	27186940	6234419
METER000001	22-03-2020 15:00	27187075	6234464
METER000001	22-03-2020 15:30	27187218	6234507
METER000001	22-03-2020 16:00	27187357	6234550
METER000001	22-03-2020 16:30	27187485	6234590
METER000001	22-03-2020 17:00	27187610	6234633
METER000001	22-03-2020 17:30	27187733	6234677
METER000001	22-03-2020 18:00	27187845	6234723
METER000001	22-03-2020 18:30	27187951	6234768
METER000001	22-03-2020 19:00	27188056	6234811
METER000001	22-03-2020 19:30	27188162	6234855
METER000001	22-03-2020 20:00	27188267	6234899
METER000001	22-03-2020 20:30	27188373	6234943
METER000001	22-03-2020 21:00	27188478	6234987
METER000001	22-03-2020 21:30	27188583	6235029
METER000001	22-03-2020 22:00	27188686	6235069
METER000001	22-03-2020 22:30	27188792	6235112
METER000001	22-03-2020 23:00	27188895	6235155
METER000001	22-03-2020 23:30	27188999	6235198
METER000001	23-03-2020 00:00	27189103	6235242
METER000001	23-03-2020 00:30	27189209	6235287
METER000001	23-03-2020 01:00	27189314	6235330
METER000001	23-03-2020 01:30	27189420	6235371
METER000001	23-03-2020 02:00	27189522	6235414
METER000001	23-03-2020 02:30	27189623	6235455
METER000001	23-03-2020 03:00	27189725	6235499
METER000001	23-03-2020 03:30	27189830	6235546
METER000001	23-03-2020 04:00	27189991	6235589
METER000001	23-03-2020 04:30	27190128	6235631
METER000001	23-03-2020 05:00	27190253	6235676
METER000001	23-03-2020 05:30	27190398	6235723
METER000001	23-03-2020 06:00	27190563	6235772
METER000001	23-03-2020 06:30	27190814	6235824
METER000001	23-03-2020 07:00	27191124	6235889
METER000001	23-03-2020 07:30	27191518	6235967
METER000001	23-03-2020 08:00	27191896	6236040
METER000001	23-03-2020 08:30	27192274	6236112
METER000001	23-03-2020 09:00	27192666	6236189
METER000001	23-03-2020 09:30	27193064	6236265
METER000001	23-03-2020 10:00	27193474	6236327
METER000001	23-03-2020 10:30	27193909	6236394
METER000001	23-03-2020 11:00	27194323	6236464
METER000001	23-03-2020 11:30	27194719	6236538
METER000001	23-03-2020 12:00	27195118	6236610
METER000001	23-03-2020 12:30	27195519	6236683
METER000001	23-03-2020 13:00	27195920	6236747
METER000001	23-03-2020 13:30	27196295	6236814
METER000001	23-03-2020 14:00	27196674	6236882
METER000001	23-03-2020 14:30	27197054	6236950
METER000001	23-03-2020 15:00	27197457	6237006
METER000001	23-03-2020 15:30	27197835	6237079
METER000001	23-03-2020 16:00	27198173	6237156
METER000001	23-03-2020 16:30	27198395	6237231
METER000001	23-03-2020 17:00	27198543	6237287
METER000001	23-03-2020 17:30	27198666	6237329
METER000001	23-03-2020 18:00	27198791	6237373
METER000001	23-03-2020 18:30	27198901	6237418
METER000001	23-03-2020 19:00	27199006	6237459
METER000001	23-03-2020 19:30	27199111	6237503
METER000001	23-03-2020 20:00	27199214	6237547
METER000001	23-03-2020 20:30	27199320	6237593
METER000001	23-03-2020 21:00	27199424	6237637
METER000001	23-03-2020 21:30	27199527	6237680
METER000001	23-03-2020 22:00	27199631	6237719
METER000001	23-03-2020 22:30	27199736	6237760
METER000001	23-03-2020 23:00	27199841	6237803
METER000001	23-03-2020 23:30	27199943	6237846
METER000001	24-03-2020 00:00	27200046	6237890
METER000001	24-03-2020 00:30	27200150	6237935
METER000001	24-03-2020 01:00	27200254	6237980
METER000001	24-03-2020 01:30	27200359	6238023
METER000001	24-03-2020 02:00	27200460	6238067
METER000001	24-03-2020 02:30	27200561	6238112
METER000001	24-03-2020 03:00	27200662	6238155
METER000001	24-03-2020 03:30	27200764	6238199
METER000001	24-03-2020 04:00	27200921	6238245
METER000001	24-03-2020 04:30	27201055	6238286
METER000001	24-03-2020 05:00	27201179	6238329
METER000001	24-03-2020 05:30	27201330	6238372
METER000001	24-03-2020 06:00	27201492	6238420
METER000001	24-03-2020 06:30	27201759	6238478
METER000001	24-03-2020 07:00	27202067	6238546
METER000001	24-03-2020 07:30	27202439	6238609
METER000001	24-03-2020 08:00	27202827	6238666
METER000001	24-03-2020 08:30	27203227	6238729
METER000001	24-03-2020 09:00	27203640	6238798
METER000001	24-03-2020 09:30	27204055	6238865
METER000001	24-03-2020 10:00	27204476	6238942
METER000001	24-03-2020 10:30	27204903	6239019
METER000001	24-03-2020 11:00	27205317	6239091
METER000001	24-03-2020 11:30	27205743	6239156
METER000001	24-03-2020 12:00	27206172	6239230
METER000001	24-03-2020 12:30	27206592	6239306
METER000001	24-03-2020 13:00	27207026	6239383
METER000001	24-03-2020 13:30	27207457	6239461
METER000001	24-03-2020 14:00	27207866	6239540
METER000001	24-03-2020 14:30	27208289	6239618
METER000001	24-03-2020 15:00	27208703	6239698
METER000001	24-03-2020 15:30	27209117	6239776
METER000001	24-03-2020 16:00	27209505	6239855
METER000001	24-03-2020 16:30	27209756	6239934
METER000001	24-03-2020 17:00	27209918	6239991
METER000001	24-03-2020 17:30	27210062	6240037
METER000001	24-03-2020 18:00	27210208	6240078
METER000001	24-03-2020 18:30	27210327	6240119
METER000001	24-03-2020 19:00	27210441	6240164
METER000001	24-03-2020 19:30	27210552	6240208
METER000001	24-03-2020 20:00	27210657	6240252
METER000001	24-03-2020 20:30	27210758	6240296
METER000001	24-03-2020 21:00	27210860	6240340
METER000001	24-03-2020 21:30	27210961	6240384
METER000001	24-03-2020 22:00	27211063	6240428
METER000001	24-03-2020 22:30	27211164	6240473
METER000001	24-03-2020 23:00	27211265	6240514
METER000001	24-03-2020 23:30	27211365	6240556
METER000001	25-03-2020 00:00	27211466	6240599
